id,Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,CalculatedPrice
195,HP,Notebook,8,2.5,0,1,127.33567457123112,Intel Core i5,1000.0,0,Nvidia,Windows,10.888674566011405
1137,Dell,Notebook,8,2.5,0,0,100.45466986113652,Intel Core i5,1000.0,0,AMD,Windows,10.660885615041076
361,Asus,Notebook,8,2.0,0,0,157.3505121487356,Intel Core i5,0.0,256,Intel,Windows,10.792368634668778
182,Lenovo,2 in 1 Convertible,16,1.4,1,1,316.96506044349616,Intel Core i7,0.0,512,Intel,Windows,11.61319351592413
1021,Toshiba,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i5,0.0,256,Intel,Windows,11.157280795986496
126,HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,1000.0,0,Intel,Windows,10.77920249796514
918,Dell,Gaming,16,2.6,0,0,141.21199808219862,Intel Core i7,1000.0,128,Nvidia,Windows,11.457927699230057
1271,Lenovo,Notebook,2,1.5,0,0,111.93520355955212,Other Intel Processor,0.0,0,Intel,Windows,9.96821169641788
50,Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738090785728,Other Intel Processor,0.0,0,Intel,Others,10.118377324938773
237,Asus,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,1000.0,128,AMD,Windows,10.049755456309564
1171,HP,Notebook,16,2.1,0,0,141.21199808219862,Intel Core i7,0.0,512,Intel,Windows,11.389640840105109
667,HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i7,1000.0,0,AMD,Windows,10.80563833022667
438,Lenovo,Ultrabook,24,1.32,0,0,209.8006828649808,Intel Core i7,0.0,512,Intel,Windows,11.941589635048464
1141,MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i7,1000.0,128,Nvidia,Windows,11.140396709199136
218,Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i5,0.0,256,Intel,Windows,11.122769214928045
23,Dell,2 in 1 Convertible,8,1.62,1,0,165.6321180513006,Intel Core i5,0.0,256,Intel,Windows,11.086582621653989
419,Lenovo,Ultrabook,8,1.75,0,1,157.3505121487356,Intel Core i7,0.0,256,AMD,Windows,11.185518542010854
663,HP,Notebook,6,2.04,0,0,141.21199808219862,Intel Core i3,1000.0,0,AMD,Windows,10.292845593019074
293,Dell,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i7,0.0,256,Nvidia,Windows,10.991109552821772
42,Asus,Notebook,8,2.3,0,0,100.45466986113652,Intel Core i5,1000.0,0,Nvidia,Others,10.433352580947501
1110,HP,Notebook,8,1.16,1,0,276.053530085501,Other Intel Processor,0.0,256,Intel,Windows,10.341733824047303
708,Lenovo,Notebook,8,1.8,0,0,157.3505121487356,Intel Core i5,0.0,256,Intel,Windows,10.809572768628975
767,Dell,Gaming,16,2.72,1,1,282.42399616439724,Intel Core i7,1000.0,128,Nvidia,Windows,11.544949426102193
848,HP,2 in 1 Convertible,8,1.28,1,0,165.6321180513006,Intel Core i5,0.0,256,Intel,Windows,11.122957125871768
80,Dell,Ultrabook,8,1.88,0,1,141.21199808219862,Intel Core i5,0.0,256,Intel,Windows,11.21247887755882
62,Lenovo,Notebook,8,1.7,0,1,157.3505121487356,Intel Core i3,0.0,256,Intel,Others,10.331710185694567
121,MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,2000.0,256,Nvidia,Windows,11.40217495498908
1047,MSI,Gaming,16,3.78,0,1,127.33567457123112,Intel Core i7,1000.0,256,Nvidia,Windows,11.61202556031096
77,Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,1000.0,128,Intel,Windows,10.851206204715174
978,HP,Notebook,6,2.04,0,0,100.45466986113652,Intel Core i7,1000.0,0,Intel,Windows,10.79210091181269
274,Toshiba,&&Notebook,8,2.2,0,0,100.45466986113652,Intel Core i7,500.0,0,Nvidia,Windows,11.176134202472461
1088,HP,Notebook,4,1.29,0,0,276.053530085501,Other Intel Processor,0.0,0,Intel,Others,9.894824649119752
750,Lenovo,Netbook,4,1.4,1,0,135.0942111925629,Other Intel Processor,0.0,128,Intel,Windows,10.055423100605664
581,Dell,Notebook,8,1.9,0,0,100.45466986113652,Intel Core i5,500.0,0,Intel,Windows,10.802898465092916
348,Asus,2 in 1 Convertible,4,1.5,1,0,135.0942111925629,Other Intel Processor,0.0,0,Intel,Windows,10.270101044793464
251,Asus,Gaming,16,4.3,0,0,127.33567457123112,Intel Core i7,1000.0,256,Nvidia,Windows,11.387327397460366
